	TARGET.30.PAITCI.01	TARGET.30.PAITEG.01	TARGET.30.PAIVHE.01	TARGET.30.PALBFW.01	TARGET.30.PALCBW.01	TARGET.30.PALETP.01	TARGET.30.PALIIN.01	TARGET.30.PALNVP.01	TARGET.30.PALTEG.01	TARGET.30.PALUYS.01	TARGET.30.PALWVJ.01	TARGET.30.PALXTB.01	TARGET.30.PAMYCE.01	TARGET.30.PANBJH.01	TARGET.30.PANBSP.01	TARGET.30.PANKFE.01	TARGET.30.PANNMS.01	TARGET.30.PANRHJ.01	TARGET.30.PANRRW.01	TARGET.30.PANRVJ.01	TARGET.30.PANUIF.01	TARGET.30.PANWRR.01	TARGET.30.PANYGR.01	TARGET.30.PANZPV.01	TARGET.30.PANZVU.01	TARGET.30.PAPBGH.01	TARGET.30.PAPBZI.01	TARGET.30.PAPEAV.01	TARGET.30.PAPHPE.01	TARGET.30.PAPKXS.01	TARGET.30.PAPLSD.01	TARGET.30.PAPUAR.01	TARGET.30.PAPUEB.01	TARGET.30.PAPUWY.01	TARGET.30.PAPVFD.01	TARGET.30.PAPVXS.01	TARGET.30.PARACS.01	TARGET.30.PARBGP.01	TARGET.30.PARDIW.01	TARGET.30.PARFWB.01	TARGET.30.PARGKK.01	TARGET.30.PARHAM.01	TARGET.30.PARHAM.02	TARGET.30.PARKGJ.01	TARGET.30.PARSBI.01	TARGET.30.PARYNK.01	TARGET.30.PARZIP.01	TARGET.30.PASFGG.01	TARGET.30.PASMNT.01	TARGET.30.PASNEF.01	TARGET.30.PASPER.01	TARGET.30.PASRFS.01	TARGET.30.PASSRS.01	TARGET.30.PASTCN.01	TARGET.30.PASTKC.01	TARGET.30.PASUCB.01	TARGET.30.PASUYG.01	TARGET.30.PASWIJ.01	TARGET.30.PASXHE.01	TARGET.30.PASXRJ.01	TARGET.30.PASYPX.01	TARGET.30.PATCFL.01	TARGET.30.PATDXC.01	TARGET.30.PATFCY.01	TARGET.30.PATGLU.01	TARGET.30.PATHVK.01	TARGET.30.PATINJ.01	TARGET.30.PATNKP.02	TARGET.30.PATYIL.01	TARGET.30.PATYIL.02
Preadipocytes	0	0.1272	0	0.0068	0.2387	0	0	0.028	0	0.0112	0	0	0	0	0.066	0.1275	0.051	0.1127	0	0.0183	0	0	0.0162	0.0135	0.1057	0.0499	0.0383	0.0152	0.0488	0.0057	0	0.0077	0	0	0.025	0	0	0	0	0	0.0079	0	0.0235	0	0	0	0	0	0.039	0.0216	0.0503	0	0	0.0054	0	0.0202	0	0	0.0134	0	0.0226	0	0	0	0.0172	0.0204	0	0.1095	0.0348	0.0316
Sebocytes	0.0038	0.0157	0.0049	0.0012	0.0102	0.0147	0.0043	0	0.0223	2e-04	0.0019	0.0071	0.0033	0.0034	0	0.0019	0.0045	0.0016	1e-04	0.0059	0.0083	0	0.0014	0.0106	9e-04	0	0	0.0047	0	5e-04	0.0098	0.0089	0.0024	1e-04	0.004	6e-04	0.0053	0.0022	0.0132	0.0036	0.0019	0.0095	0.0138	0.0041	0.0388	0	0.0013	0.0201	0.0016	0.0028	0.0049	0.0074	4e-04	0.0044	0.0044	0	0.0033	0.0036	0	0.0059	0.0017	0.0014	0.0046	0.0012	7e-04	0.0126	0.0034	0	0	2e-04
Skeletal muscle	0	0	0.0015	0.0026	0	0.0025	0.01	0.0012	0.0132	0	0.0033	1e-04	0.0135	0.0113	0	0	0.0081	0.0026	0	5e-04	0	0	0.0101	0	0.0018	0.0053	0.0037	0.0168	0	0	0.0115	0.0067	0.002	0.0039	0.0083	0	0	0.0088	0	0.0079	0.0014	0.0032	0	3e-04	0.0019	0	0.0027	0.004	0.0043	0.0075	0.004	0	0.0069	0.0071	0.0057	0.0168	0.0145	0.0037	0.0075	0	0.0077	0	0.0108	0.0042	0.0122	0.015	0.0035	0	0.0024	0.0053
Smooth muscle	0.2195	0.0038	0	0.0425	0.2112	0.036	0	0.2972	0.0126	0	0.2001	0.1349	0	0.0759	0.2467	0.0843	0.0646	0.0443	0.0337	0.128	0	0.0812	0.1543	0.1443	0.1566	0.2051	0.1206	0.1094	0.1171	0	0.0092	0	0	0	0.0066	0	0	0.0356	0	0	0.0816	0.0935	0.2385	0.0104	0	0	0	0	0.0208	0	0.1499	0	0	0	0.0385	0.0481	0	0.0037	0.0161	0	0.1379	0.0184	0	0	0	0.0549	0	0.2913	0.1175	0.1865
Tgd cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Th1 cells	0.0465	0	0	0.0102	0	7e-04	0.0239	0.0215	0.0611	0.0687	0	0.0368	0	0.0143	0.032	0	0	0.0043	0.0247	0	0.0714	0.0402	0.0272	0	0	0	0.0145	0.002	0.0155	0.0636	0.0977	0	0	4e-04	0	0.0874	0.0656	0.0181	0.0567	0.0279	0.0249	0.0187	0.0125	0.0091	0.0437	0	0.0253	0.0046	0.057	0.0554	0.0172	0.0456	0	0.0096	0.0218	0.0337	0.0173	0	0	0.0245	0	0.0225	0.0334	0.0205	0.014	0.0204	0.0479	0	0.0063	0
Th2 cells	0.1887	0	0.1422	0	0	0.4057	0.258	0.0447	0.2088	0.3742	0.3221	0.0166	0.173	0.3281	0.2727	0	0.4082	0.379	0.0225	0	0	0.1171	0.358	0.1489	0.1218	0.3385	0.2969	0.4347	0	0.263	0.2078	0.2676	0.3456	0.3942	0.21	0.307	0.1443	0.1797	0.1313	0.3597	0	0.1375	0.0048	0.148	0.0738	0.4532	0.1809	0.3394	0.1651	0.2694	0.0232	0.0772	0.2266	0.3282	0.0608	0.3786	0.4509	0.1444	0.3862	0.0237	0.5708	0.1494	0.2111	0.268	0.388	0.3393	0.2993	0.3569	0.1862	0.3782
Tregs	0	0	0	0.0016	0	0	0	0.0123	0	0	0	0	0	0	0	0	0	0	0.0217	0	0	0	0	0	0	0	0	0	0.0369	0	0	0	0	0	0	0	0	0	0	0	0.0054	0	0.0234	0	0	0	0	0	0	0	0.0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aDC	0.1756	0.3568	0.6001	0.4948	0.5084	0.338	0.5715	0.093	0.5477	0.5684	0.2566	0.4882	0.446	0.1317	0	0.3618	0.4142	0.3618	0.5991	0.4185	0.2192	0.0717	0.1788	0.2456	0.379	0.0779	0.09	0.1589	0.376	0.2114	0.2316	0.5193	0.3978	0.6854	0.4345	0.6714	0.5111	0.5417	0.6041	0.4803	0.2372	0.11	0.2474	0.4539	0.7037	0.5311	0.4234	0.5549	0.218	0.2923	0.2355	0.5673	0.0448	0.3209	0.5834	0.0355	0.125	0.6032	0.4633	0.5333	0.4733	0.2681	0.4771	0.205	0.4611	0.113	0.4484	0.0154	0.2625	0.1889
cDC	0.1459	0.1457	0.0474	0.2866	0.2206	0.1162	0.0892	0.0014	0.2267	0.135	0.1855	0.1501	0.1192	0.0774	0.0514	0.232	0.1682	0.0411	0.2166	0.0658	0.0263	0.0657	0.0123	0.0773	0.0712	0.0271	0.0974	0.058	0.0846	0.2354	0.0644	0.2284	0.1942	0.1503	0.0672	0.1944	0.148	0.1189	0.361	0.2099	0.1771	0.0658	0.0555	0.1665	0.1798	0.1524	0.0597	0.1708	0.0793	0.0825	0.0808	0.2312	0	0.1921	0.0674	0.1081	0.1071	0.2602	0.1425	0.2938	0.2535	0.0584	0.0886	0.0987	0.1202	0.1571	0.1429	0.0396	0.0329	0.0366
iDC	0.1793	0.3627	0	0.0659	0.095	0.2416	0.0872	0	0.0486	0.0339	0.208	0.0568	0	0.0883	0	0.1431	0.3155	0	0	0	0.1976	0	0.0102	0	0	0	0.0871	0.1392	0	0	0.2839	0	0.2752	0.0975	0.0372	0.2888	0.0164	0	0	0.0764	0.1722	0	0	0.3387	0.086	0.0309	0	0.2074	0.1557	0.0583	0	0.2471	0	0.3543	0	0.102	0	0.1549	0.0662	0.2323	0.2008	0	0.171	8e-04	0.2539	0.1672	0.1185	0.0056	0	0.0816
ly Endothelial cells	0.001	0.0091	0.0435	0.0662	0.0224	0	0.0116	7e-04	0.0406	0.0124	0	0.0018	0.0418	2e-04	0.0088	0.0451	0.0189	0.0186	0.0097	0.0339	0.0763	0.0047	0	0.0041	0.0254	0.0307	0.0142	0	0	0	0.0186	0.0017	0.0114	0.0349	0	0.004	0.0288	0.0041	0.0032	0	0.0233	0	0	0.0169	0.0317	0	0	0.0232	0	0	3e-04	0.0042	0.0122	0.0024	0.0079	0	0	0.0577	0	0.0356	0.005	0	0.0452	0.0093	0.0116	0.0086	0.0116	0	0	0.004
mv Endothelial cells	0.0055	0.0064	0.0198	0.0512	0.0225	0.0068	0.0201	0.0012	0.0686	0.029	0	0.0091	0.0385	0.004	0.0082	0.0398	0.033	0.0233	0.0252	0.0249	0.0738	0.0065	0.0083	0.0079	0.0195	0.0221	0.0223	0.0047	0	0	0.0254	0.0093	0.0155	0.0263	0	0.0189	0.0289	0.007	0.0042	0.0012	0.03	0	0	0.0193	0.0376	0	0	0.0508	0	0.0095	0.0035	0.01	0.015	0.0113	3e-04	0	0	0.055	0	0.053	0.0232	0.0054	0.039	0.0105	0.0113	0.0148	0.0405	0	0	0.0085
naive B-cells	0	0	0	0	0	0	0.0228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0248	0.0588	0	0.016	0	0	0.01	0	0	0	0	0	0	0.0019	0	0.0085	0.0042	0	0	0	0.0916	0	0	0	0	0	0.0051	0	0.0735	0.0042	0	0.0276	0	0	0	0	0	0	0
pDC	0.0338	0.2858	0	0.0022	0.0275	0.0083	0.0209	0	0.0389	0.0195	0.0052	0	0	0	0	0.2331	0.0061	0	0.0105	0	0	0	0	0	0	0	0	0	0.0108	0.0062	0	0.01	0.0199	0.1054	0.0107	0.1399	0	0.0057	0.0523	0.009	0.0418	0.0081	0.0645	0	0.0069	0.0385	0	0.0324	4e-04	0	0	0.0226	0	0.0085	0	0	0	0	0.0045	0.0441	0.0077	0	0.0416	0	0	7e-04	0.017	0	0.0039	0
pro B-cells	0	0	0	0	0	0.0922	0.0894	0	0.0346	0.0261	0.0292	0	0	0.0119	0.0085	0	0.0584	0.0131	0	0	0	0.0436	0.0159	0	0	0	0.0198	0.0369	0	0.0355	0.0125	0.0839	0.1881	0.0176	0.0493	0.061	0.0073	0.0548	0.1065	0.0886	0	0	0	0	0.032	0.0345	0.04	0.0586	0.0188	0.0765	0	0.1923	0.0027	0.0198	0	0.0377	0.0827	0.0189	0.0097	0.1318	0.0851	0.008	0.084	0.0186	0.0254	0.0104	0.0368	0	0.0031	0
ImmuneScore	0.0737	0.4445	0.0839	0.0851	0.1159	0.1613	0.2484	0.0261	0.116	0.0797	0.0671	0.137	0.0696	0.0133	0.0101	0.1851	0.1175	0.0326	0.1123	0.0578	0.0513	0.0517	0.0139	0.0226	0.1172	0	0.0103	0.0563	0.1233	0.0523	0.1146	0.2921	0.4353	0.1969	0.1944	0.1834	0.0807	0.1703	0.3007	0.1105	0.0883	0.0391	0.0412	0.2745	0.3106	0.0927	0.1515	0.3413	0.0977	0.0639	0.0628	0.5125	0.0083	0.0986	0.1098	0	0.0011	0.1929	0.0767	0.4859	0.184	0.0415	0.2751	0.0089	0.0643	0.0433	0.1327	0.0011	0.0465	0.0625
StromaScore	0.0272	0.1954	0.0788	0.0586	0.2038	0.005	0.0105	0.0055	0.0973	0.0168	0.0142	0.0112	0.0936	0.0062	0.008	0.1279	0.0219	0.0397	0.02	0.1166	0.0617	0.0036	0.0068	0.0444	0.0444	0.057	0.0198	0.0018	0	0	0.0595	0.002	0.0092	0.058	0	0.0104	0.0326	0.0055	0	0	0.0246	0	0	0.0958	0.043	0	0	0.0444	0	0.0022	0.0045	0	0.0234	0.0131	0.1033	0.018	0	0.0546	0	0.0238	0.0114	0.003	0.0442	0.0081	0.0437	0.0178	0.0158	0.0034	0	0.0064
MicroenvironmentScore	0.1009	0.6399	0.1627	0.1437	0.3197	0.1664	0.2589	0.0316	0.2134	0.0966	0.0812	0.1482	0.1632	0.0195	0.0182	0.3129	0.1394	0.0723	0.1323	0.1744	0.113	0.0554	0.0207	0.067	0.1616	0.057	0.0302	0.058	0.1233	0.0523	0.1741	0.2941	0.4445	0.2548	0.1944	0.1938	0.1133	0.1758	0.3007	0.1105	0.1128	0.0391	0.0412	0.3703	0.3536	0.0927	0.1515	0.3857	0.0977	0.066	0.0673	0.5125	0.0317	0.1117	0.2131	0.018	0.0011	0.2474	0.0767	0.5097	0.1954	0.0445	0.3194	0.017	0.108	0.0612	0.1485	0.0045	0.0465	0.0689
